1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
28,31,28,21,17,9,10,7,15,8,9,12,11,13,12,14,16,21,9,11,15,5,9,11
12,23,25,8,5,3,5,14,16,10,11,5,13,17,6,14,8,1,3,2,1,9,7,5
2,9,7,7,6,6,4,8,4,11,7,11,13,4,13,9,11,9,16,6,4,2,6,6
4,6,14,6,10,12,20,18,18,19,21,25,18,19,13,28,25,20,27,11,17,22,14,15
12,16,21,13,15,13,15,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45,48,42,39,34,35,44,59
42,35,33,26,24,24,22,35,38,47,34,28,26,31,26,28,26,39,41,27,17,22,25,28
22,19,28,15,17,26,31,47,57,59,54,43,37,20,26,79,66,35,21,13,11,15,25,32
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,1,7,6,27,9,14,11,12,11,11,13,17
8,20,18,11,12,14,17,11,14,5,4,2,8,8,5,12,13,16,12,14,16,15,13,3
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54,36,25,18,22,19,21,57,32,13,3,4,13,19
10,6,18,24,16,21,35,18,20,24,18,16,18,10,16,11,11,8,16,2,9,4,6,2
4,9,9,4,8,4,5,9,6,16,20,16,18,19,12,14,7,3,6,4,3,3,6,5
10,14,14,8,10,9,9,10,13,17,22,18,21,24,23,25,14,11,15,16,20,18,16,16
20,25,20,19,14,18,14,13,19,15,13,16,15,27,18,23,23,22,21,18,21,16,24,18
18,22,17,12,14,17,15,22,25,25,22,23,18,21,24,21,27,24,15,11,15,6,10,6
7,7,7,10,9,7,17,18,19,22,21,19,30,19,20,16,14,9,16,10,12,13,11,11
13,9,13,5,10,9,15,12,18,21,25,23,12,22,17,12,12,5,6,9,10,6,12,13
10,15,13,11,14,13,12,18,19,14,16,18,21,25,18,25,21,17,16,13,13,14,13,13
12,22,18,12,NULL,NULL,42,15,20,25,24,22,22,21,24,25,24,25,17,16,16,23,15,20
16,21,18,16,15,16,15,17,12,6,19,16,15,19,29,34,35,41,44,21,18,8,15,18
21,18,26,14,12,14,14,17,16,18,20,19,17,22,24,52,44,6,27,28,33,36,25,26
21,18,23,22,20,20,22,20,27,28,22,11,16,22,13,21,18,24,17,38,9,14,21,35
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,25,31,39,40,32,21,18,21,14,15
17,17,10,13,16,15,16,17,24,27,27,10,11,5,6,9,10,6,7,10,7,7,12,4
7,14,6,10,10,8,12,16,22,15,11,18,17,11,20,20,17,23,18,18,16,22,32,22
25,19,23,16,19,19,9,15,19,15,11,9,8,14,12,10,14,19,15,21,17,26,26,26
29,27,38,39,43,43,39,38,50,57,44,21,21,24,15,27,27,24,29,36,47,32,29,34
37,51,49,33,28,21,23,22,17,27,49,48,48,50,53,56,47,31,22,15,14,14,26,27
23,29,26,18,16,11,21,33,41,42,38,40,32,48,61,57,51,46,38,36,23,13,14,11
19,27,21,20,20,18,29,31,42,44,30,24,14,16,22,28,27,41,43,42,46,40,41,43
45,33,38,34,26,22,27,26,39,38,47,28,26,35,28,23,60,32,11,16,32,32,20,23
16,30,27,19,15,17,26,26,27,19,14,21,14,25,18,31,20,25,13,10,14,10,9,48
28,8,20,17,14,16,18,23,19,18,17,25,14,21,24,28,36,31,20,9,14,16,12,16
