1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
53,82,93,74,61,66,84,55,37,27,7,14,4,32,8,3,33,51,8,27,20,14,7,6
3,14,9,16,11,11,13,9,17,16,17,17,14,14,12,14,18,20,19,17,14,11,12,9
1,3,4,3,1,23,0,0,0,1,30,11,0,0,0,17,19,0,1,11,25,2,1,9
7,12,38,14,5,9,11,8,13,11,6,8,14,10,33,0,1,0,0,29,4,0,0,9
26,2,5,8,10,35,16,10,5,9,15,14,10,12,21,16,2,8,11,3,20,17,10,2
4,3,9,7,9,4,11,15,14,14,11,11,9,35,9,4,1,9,14,33,31,43,37,35
41,27,25,38,17,8,10,21,20,20,17,20,10,6,21,19,20,18,20,37,39,34,7,24
16,0,5,9,8,11,14,15,14,15,27,13,0,1,6,14,24,10,5,28,2,6,7,16
11,1,1,8,6,6,12,14,11,20,31,13,20,8,14,20,32,22,26,24,13,18,32,35
33,31,24,23,28,20,15,15,11,8,17,27,24,21,24,9,15,22,33,7,13,59,50,44
44,41,42,22,26,27,32,46,25,3,9,288,99,62,28,25,45,16,19,17,18,23,28,36
39,25,20,12,12,17,12,11,17,9,11,9,8,11,17,31,6,1,0,4,8,7,6,3
10,9,36,8,1,4,2,13,28,5,2,1,7,11,10,31,3,1,12,8,8,36,22,16
10,8,16,13,15,19,18,16,18,37,16,17,23,20,23,23,42,23,24,20,26,21,7,23
12,10,16,18,14,27,23,32,36,33,31,23,21,18,37,37,28,19,29,48,54,54,59,54
55,66,73,62,61,65,66,67,62,36,20,3,0,6,6,38,30,5,8,18,17,11,4,1
0,5,20,0,0,6,10,12,4,4,29,8,0,0,2,1,1,2,21,23,1,5,14,8
5,8,6,1,8,3,9,8,33,18,16,18,15,15,18,12,3,7,16,3,5,1,11,3
6,12,10,15,18,17,18,18,9,21,17,22,18,14,23,21,12,13,20,21,15,17,16,21
7,15,14,8,9,16,28,29,15,10,17,11,15,17,19,46,14,8,11,8,17,13,4,14
21,28,19,9,24,40,12,16,10,13,17,35,34,33,26,29,49,14,10,12,31,22,3,12
8,11,1,6,17,36,8,17,23,15,29,25,22,20,26,22,11,10,39,30,37,20,4,40
6,0,4,11,3,2,38,20,7,11,18,20,7,5,17,14,6,12,8,7,19,14,12,9
21,18,20,23,7,13,21,6,1,12,7,13,14,8,3,2,5,4,12,23,26,3,0,0
0,21,8,0,4,28,11,5,6,8,8,4,8,5,34,2,4,10,12,17,23,26,29,40
70,43,29,27,34,33,32,46,39,22,12,9,19,19,14,41,22,7,8,15,24,23,23,18
30,23,44,25,28,32,45,44,32,32,24,20,20,20,29,28,31,26,33,22,29,27,31,49
56,66,31,29,26,29,39,46,34,29,28,24,19,40,44,53,18,25,27,30,26,25,25,44
36,61,32,20,22,19,20,26,23,17,14,14,8,11,20,14,14,13,33,25,10,16,25,20
21,14,19,17,11,2,1,1,8,13,11,11,39,10,11,13,6,3,24,28,6,12,10,9
11,4,5,11,11,6,13,8,11,12,18,12,5,5,7,12,17,16,13,19,17,22,32,9
14,7,3,11,32,9,6,6,7,22,16,16,20,11,18,15,9,13,8,5,3,28,4,1
5,7,10,14,18,26,18,16,6,6,18,16,18,25,19,13,4,6,11,5,15,3,4,2
0,0,0,27,17,5,10,17,40,5,7,6,1,3,20,16,2,0,0,4,4,1,1,11
40,3,0,0,2,4,15,16,8,32,9,3,0,0,2,2,4,9,1,4,33,10,2,2
5,10,32,4,1,4,12,8,4,13,20,23,14,16,19,11,15,9,13,14,20,31,32,22
8,8,13,15,10,8,17,21,22,20,19,17,17,20,65,42,15,13,1,11,19,34,23,20
19,45,42,26,18,12,25,26,13,5,3,25,7,4,8,27,20,10,16,40,27,20,23,16
41,14,11,15,16,22,16,18,18,19,15,10,6,20,24,8,10,29,16,13,19,46,28,28
33,27,38,38,25,6,10,7,13,4,2,7,18,9,17,30,20,3,3,8,7,7,8,8
2,2,2,0,1,2,7,0,3,0,17,16,2,0,0,0,1,2,21,10,0,0,0,22
11,0,0,20,4,0,0,2,4,4,3,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
