1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
67,97,109,71,45,52,28,18,19,11,3,13,14,15,15,19,69,39,19,12,9,31,24,29
34,23,20,22,21,20,29,19,15,23,2,23,6,10,6,12,6,24,23,9,13,33,37,28
25,21,17,15,11,9,8,9,11,15,16,18,25,17,21,12,22,21,30,34,5,8,6,3
2,7,4,4,6,8,3,13,7,6,13,19,15,18,24,27,7,11,22,16,11,9,13,7
7,9,9,6,11,13,6,10,9,10,2,7,4,7,1,8,11,8,6,9,13,24,27,9
6,9,2,12,13,14,14,13,15,10,1,2,7,16,11,7,12,11,7,32,22,13,12,15
33,27,20,14,17,16,16,9,18,18,6,22,12,28,52,45,65,13,24,22,21,29,15,24
29,21,23,23,17,14,20,15,28,23,11,22,16,28,16,8,31,32,8,19,17,13,24,23
27,33,26,22,20,26,25,23,24,25,14,29,33,17,10,12,17,26,59,61,58,51,47,42
48,30,45,38,25,26,30,16,16,12,11,24,24,22,26,30,29,30,33,40,39,28,35,36
15,9,7,12,12,19,24,26,25,32,21,21,17,27,23,37,35,22,12,13,31,18,21,32
36,46,41,47,36,44,25,27,14,21,17,27,42,28,31,31,25,34,31,17,39,33,33,28
34,33,28,33,33,30,32,26,20,26,6,15,22,23,14,17,27,37,16,33,37,28,28,30
26,29,34,32,31,31,31,38,26,36,10,14,24,23,19,25,28,41,19,19,28,25,31,44
47,39,34,29,34,35,36,28,24,26,18,24,29,35,38,37,33,25,37,31,38,41,45,25
3,17,29,23,18,33,20,37,32,31,28,33,24,28,22,19,26,35,28,38,16,11,8,19
18,17,13,11,10,7,20,25,18,29,20,20,15,23,24,20,5,20,48,19,12,16,23,24
21,32,34,29,24,30,20,16,16,13,12,23,27,22,15,21,32,31,12,12,26,14,26,23
28,33,25,20,11,24,18,20,13,23,7,24,19,22,17,22,20,22,17,36,25,21,9,22
30,14,18,6,14,8,17,12,11,18,5,9,13,15,28,5,24,42,8,10,11,10,17,20
11,17,18,9,11,17,18,19,14,18,11,16,24,19,10,9,18,14,19,28,34,46,35,29
25,39,32,28,23,26,26,35,26,25,25,34,32,33,29,57,44,20,9,22,18,14,14,17
15,21,30,21,19,17,19,16,21,26,14,23,28,21,25,12,33,48,14,11,27,29,34,26
42,44,30,29,34,22,36,30,31,22,21,28,31,32,43,44,34,11,17,24,37,37,35,31
30,27,34,34,29,18,16,25,22,24,20,20,31,27,20,25,23,NULL,NULL,7,15,17,13,15
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,62,34,28,24,17,21,19,15,8,6,8,17,6,9,11,8,34,3,13,23,21,32,32
28,NULL,9,28,34,36,29,40,39,33,7,12,9,7,9,9,9,13,14,25,49,33,26,23
23,24,32,33,37,25,36,26,29,31,11,27,19,13,26,13,41,32,24,26,32,54,44,43
43,47,45,47,48,43,55,46,56,62,28,15,20,22,12,13,24,53,20,15,29,27,46,32
42,41,33,49,40,38,39,45,44,42,25,23,19,32,38,45,47,35,24,31,30,19,32,34
32,35,26,20,14,31,22,39,48,52,37,39,23,16,15,4,10,16,35,51,53,55,48,49
